functionname,protocol,device,subdevice,function
POWER,NEC1,184,87,12
MUTE,NEC1,184,87,13
VOL +,NEC1,184,87,31
VOLUME UP,NEC1,184,87,31
VOL -,NEC1,184,87,30
VOLUME DOWN,NEC1,184,87,30
BRIGHT MODE,NEC1,184,87,29
PICTURE MODE,NEC1,184,87,29
MENU,NEC1,184,87,22
INPUT,NEC1,184,87,14
SOURCE,NEC1,184,87,14
CURSOR UP,NEC1,184,87,16
CURSOR DOWN,NEC1,184,87,20
CURSOR LEFT,NEC1,184,87,17
CURSOR RIGHT,NEC1,184,87,19
CURSOR ENTER,NEC1,184,87,18
OK,NEC1,184,87,18
EXIT,NEC1,184,87,23
BACK,NEC1,184,87,23
KEYSTONE,NEC1,184,87,28
KEYSTONE RESET,NEC1,184,87,24
